,fdr,tpr,fpr,shd,pred_size,loss,G_,G,seed,n,n_edges,missed,invented
10,0.0,0.9166666666666666,0.0,1,11,0.0019619385841355206,,,41,10,12,1,11
30,0.0,0.9772727272727273,0.0,1,43,0.007417998327680304,,,41,30,44,1,43
50,0.0,0.96,0.0,3,72,0.011734434245470552,,,41,50,75,3,72
75,0.11811023622047244,0.9180327868852459,0.005653976630229929,24,127,0.03412445868120336,,,41,75,122,10,112
10,0.25,0.9230769230769231,0.125,5,16,0.0201162712621888,,,42,10,13,1,12
30,0.06521739130434782,0.8958333333333334,0.007751937984496124,7,46,0.008016147378850296,,,42,30,48,5,43
50,0.0,0.96,0.0,3,72,0.013629290379051208,,,42,50,75,3,72
75,0.0603448275862069,0.9478260869565217,0.002631578947368421,13,116,0.020347814706857776,,,42,75,115,6,109
10,0.043478260869565216,1.0,0.043478260869565216,1,23,0.008768655697610867,,,43,10,22,0,22
30,0.029411764705882353,0.9428571428571428,0.0025,3,34,0.009106039195068654,,,43,30,35,2,33
50,0.07228915662650602,0.9746835443037974,0.005235602094240838,8,83,0.015258788489042326,,,43,50,79,2,77
75,0.11764705882352941,0.9302325581395349,0.006046863189720333,25,136,0.09510254519712356,,,43,75,129,9,120
